"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63";"V64";"V65";"V66";"V67";"V68";"V69";"V70";"V71";"V72";"V73";"V74";"V75";"V76";"V77";"V78";"V79";"V80";"V81";"V82";"V83";"V84";"V85";"V86";"V87";"V88";"V89";"V90";"V91";"V92";"V93";"V94";"V95";"V96";"V97";"V98";"V99";"V100";"V101";"V102";"V103";"V104";"V105";"V106";"V107";"V108";"V109";"V110";"V111";"V112";"V113";"V114";"V115";"V116";"V117";"V118";"V119";"V120";"V121";"V122";"V123";"V124";"V125";"V126";"V127";"V128";"V129";"V130";"V131";"V132";"V133";"V134";"V135";"V136";"V137";"V138";"V139";"V140";"V141";"V142";"V143";"V144";"V145";"V146";"V147";"V148";"V149";"V150";"V151";"V152";"V153";"V154";"V155";"V156";"V157";"V158";"V159";"V160";"V161"
"sPrice2";1000;1000;999,959043420027;1000,52844652854;1001,81511815695;1003,67586956189;1005,89038124846;1008,25656935404;1010,6337169181;1012,95223865955;1015,1731692537;1016,567331851;1017,75097297917;1019,10439794233;1020,7452899667;1022,62125903201;1024,57974020334;1026,42003900714;1027,93165234427;1029,036831509;1029,57569252418;1029,39706828893;1028,41100039334;1026,60705117408;1024,04798396343;1020,85001507668;1017,15915138398;1013,12983558521;1008,90887743463;1004,62565204559;1000,38617860065;996,271845683364;992,340950534244;988,631617314469;985,165209775353;981,94973562748;978,98298120369;976,255193137238;973,75147191494;971,453723737772;969,34217638801;967,396526474833;965,596792311971;963,923931342165;962,360263076587;960,889726530642;959,497996320482;958,172481379371;956,902232877456;955,677787849424;954,490974250614;953,334700621776;952,202749337195;951,08958730753;949,990202846866;948,8999728602;947,814560733234;946,729842760148;945,64185933848;944,546786327596;943,44092175871;942,320683338523;941,18261274291;940,023383407002;938,839809269805;937,628852647303;936,387630040801;935,113415216864;933,80363931639;932,455888068006;931,067896405748;929,637540935465;928,162830771949;926,641897292318;925,072983332916;923,454432308487;921,784677663756;920,062232988196;918,285683042198;916,453675863201;914,564916048009;912,618159245325;910,612207842046;908,545907788356;906,418146479627;904,227851596375;901,973990795403;899,65557214412;897,271645193977;894,82130259647;892,3036821747;889,717969373932;887,063400025004;884,339263364118;881,544905261129;878,679731615575;875,743211885437;872,734882717824;869,654351653768;866,501300881087;863,275491010164;859,976764847645;856,605051142705;853,160368279861;849,642827891495;846,052638362426;842,390108198125;838,655649227661;834,849779612126;830,973126629326;827,026429205781;823,010540167726;818,926428183705;814,775179372599;810,557998552428;806,27621010708;801,931258450126;797,524708067192;793,058243120787;788,533666604197;783,952899033857;779,317976672605;774,631049279291;769,894377383436;765,110329086859;760,28137639751;755,410091104046;750,499140202994;745,551280893565;740,569355158387;735,55628395145;730,515061017483;725,448746369725;720,360459455591;715,25337204204;710,13070085452;704,995700005124;699,851653247105;694,701866094055;689,549657842907;684,398353540456;679,251275933279;674,111737440806;668,983032190821;663,868428155907;658,77115942825;653,694418668862;648,641349765634;643,615040732741;638,618516881819;633,65473429303;628,726573611634;623,836834193096;618,988228617005;614,18337758728;609,424805233264;604,714934823404;600,05608490034;595,450465843333;590,900176861159;586,406621858652
"sCumulativeAdopters";60000;65994;72211,9283699775;78662,1562357913;85352,4952751322;92290,8028866168;99485,3150551784;106944,797873418;114678,580594614;122696,519235687;131008,928013684;139626,559137455;148561,868914712;157826,768126506;167432,897263943;177392,03544833;187716,420138372;198418,990246864;209513,563074204;221014,952944302;232938,76106101;245301,64142853;258121,382150455;271416,850339292;285207,859428635;299515,012920874;314359,563734925;329763,310754071;345748,539387646;362338,003154885;379554,937019689;397423,09730157;415966,817333385;435211,070926926;455181,538604131;475904,673572408;497407,765739905;519719,002893218;542867,52897305;566883,498815639;591798,129543721;617643,749064911;644453,842137353;672263,094381806;701107,434558293;731024,075415955;762051,553456435;794229,767996557;827600,019950236;862205,050748804;898089,081790689;935297,854753884;973878,673025573;1013880,44441423;1055353,72522146;1098350,76567189;1142925,55663381;1189133,8775139;1237033,34517436;1286683,4636985;1338145,67481893;1391483,40881865;1446762,1357169;1504049,41655595;1563414,95461001;1624930,64634219;1688670,63193761;1754711,3452411;1823131,562925;1894012,45270653;1967437,62042509;2043493,15577754;2122267,6764941;2203852,37071977;2288341,03734489;2375830,12400633;2466418,76245511;2560208,80096032;2657304,83339095;2757814,22458834;2861847,131612;2969516,52041135;3080938,17744448;3196230,71573433;3315515,57482071;3438917,01403541;3566562,09849589;3698580,67718194;3835105,35242829;3976271,44013601;4122216,9199751;4273082,37482215;4429010,91864872;4590148,1120502;4756641,86458027;4928642,32303443;5106301,74480708;5289774,35543089;5479216,18939624;5674784,91334145;5876639,63070391;6084940,66692704;6299849,33433068;6521527,67577257;6750138,18625815;6985843,51169449;7228806,12403439;7479187,97211798;7737150,10759329;8002852,28538529;8276452,53828471;8558106,72534621;8847968,05391852;9146186,57528028;9452908,65402289;9768276,41150753;10092427,1439272;10425492,7157263;10767598,9293704;11118864,8727152;11479402,2454976;11849314,6667626;12228696,9653399;12617634,4558022;13016202,2026636;13424464,2759055;13842473,0012592;14270268,2090084;14707876,4854125;15155310,4311743;15612567,9316937;16079631,4441418;16556467,3066634;17043025,0752594;17539236,8941089;18045016,9052549;18560260,7037009;19084844,844027;19618626,4046447;20161442,6157494;20713110,5569039;21273426,9299866;21842167,9129625;22419089,0995773;23003925,5296453;23596391,8140833;24196182,3582541;24802971,6865128;25416414,8701149;26036148,0598397;26661789,1238252;27292938,3902016;27929179,493165;28570080,3201629;29215194,0568747;29864060,3256889;30516206,4124044;31171148,5749449;31828393,4269741;32487439,3884619;33147778,1944833
"sReportedIndustryVolume1";101904;101904;102949,56347991;104811,847510688;107318,621649332;110342,167679508;113789,205958046;117592,686080635;121705,211104089;126093,869837824;130736,263784763;135617,743885344;140734,500102188;146081,828021047;151655,445343563;157453,012643422;163474,917799921;169724,561051121;176208,3083473;182935,227890553;189915,582034038;197161,60463442;204687,347370266;212508,021915745;220639,19891569;229096,114648215;237893,213848837;247043,954970026;256560,838812109;266455,592420154;276739,432400578;287423,367400945;298518,487064252;310036,20956154;321988,478343387;334387,909106105;347247,892906964;360582,663106306;374407,33507697;388737,923058181;403591,340657238;418985,390937177;434938,750525916;451470,950734894;468602,357674574;486354,152815068;504748,315203525;523807,606429521;543555,559296585;564016,470919865;585215,400682911;607178,173155461;629931,385739979;653502,420524374;677919,459604267;703211,50301293;729408,388355364;756540,811275508;784640,345965837;813739,465038012;843871,5581962;875070,949277774;907372,911338837;940813,67955736;975430,461800923;1011261,44675841;1048345,8095668;1086723,7148777;1126436,31730691;1167525,75919627;1210035,16559415;1254008,63633105;1299491,23503193;1346528,97487;1395168,80082806;1445458,56819525;1497447,01699048;1551183,74196888;1606719,1578359;1664104,45926476;1723391,57528753;1784633,11760778;1847882,32236359;1913192,98485344;1980619,38672364;2050216,21510501;2122038,47317717;2196141,3816321;2272580,27050385;2351410,46082882;2432687,1356012;2516465,19949095;2602799,12679824;2691742,79712834;2783349,31828571;2877670,83590615;2974758,32937165;3074661,3935856;3177428,00622645;3283104,28014668;3391734,20064247;3503359,34738796;3618018,6009075;3735747,83355079;3856579,58504004;3980542,72277534;4107662,08721612;4237958,12280219;4371446,49503835;4508137,69454258;4648036,62904837;4791142,20455784;4937446,89706278;5086936,31648543;5239588,76473849;5395374,79006342;5554256,74007602;5716188,31622621;5881114,13266286;6048969,28278112;6219678,91701606;6393157,83572838;6569310,10130097;6748028,67382543;6929195,07499835;7112679,08506434;7298338,47782887;7486018,79891366;7675553,1925335;7866762,28212924;8059454,11019073;8253424,14253913;8448455,3422032;8644318,31781441;8840771,55115385;9037561,70810751;9234424,03682019;9431082,8562819;9627252,13793129;9822636,1821213;10016930,3904642;10209822,1341615;10400991,7174359;10590113,4341261;10776856,7143925;10960887,3573227;11141868,8440441;11319463,7247491;11493335,0718533;11663147,9903429;11828571,1752556;11989278,5051974;12144950,6598492;12295276,7485834;12439955,9366103;12578699,0545326;12711230,176813;12837288,1544768;12956628,0873823;13069022,7216163;13174263,7579994
"sReportedIndustryVolume2";101904;101904;102949,56347991;104811,847510688;107318,621649332;110342,167679508;113789,205958046;117592,686080635;121705,211104089;126093,869837824;130736,263784763;135617,743885344;140734,500102188;146081,828021047;151655,445343563;157453,012643422;163474,917799921;169724,561051121;176208,3083473;182935,227890553;189915,582034038;197161,60463442;204687,347370266;212508,021915745;220639,19891569;229096,114648215;237893,213848837;247043,954970026;256560,838812109;266455,592420154;276739,432400578;287423,367400945;298518,487064252;310036,20956154;321988,478343387;334387,909106105;347247,892906964;360582,663106306;374407,33507697;388737,923058181;403591,340657238;418985,390937177;434938,750525916;451470,950734894;468602,357674574;486354,152815068;504748,315203525;523807,606429521;543555,559296585;564016,470919865;585215,400682911;607178,173155461;629931,385739979;653502,420524374;677919,459604267;703211,50301293;729408,388355364;756540,811275508;784640,345965837;813739,465038012;843871,5581962;875070,949277774;907372,911338837;940813,67955736;975430,461800923;1011261,44675841;1048345,8095668;1086723,7148777;1126436,31730691;1167525,75919627;1210035,16559415;1254008,63633105;1299491,23503193;1346528,97487;1395168,80082806;1445458,56819525;1497447,01699048;1551183,74196888;1606719,1578359;1664104,45926476;1723391,57528753;1784633,11760778;1847882,32236359;1913192,98485344;1980619,38672364;2050216,21510501;2122038,47317717;2196141,3816321;2272580,27050385;2351410,46082882;2432687,1356012;2516465,19949095;2602799,12679824;2691742,79712834;2783349,31828571;2877670,83590615;2974758,32937165;3074661,3935856;3177428,00622645;3283104,28014668;3391734,20064247;3503359,34738796;3618018,6009075;3735747,83355079;3856579,58504004;3980542,72277534;4107662,08721612;4237958,12280219;4371446,49503835;4508137,69454258;4648036,62904837;4791142,20455784;4937446,89706278;5086936,31648543;5239588,76473849;5395374,79006342;5554256,74007602;5716188,31622621;5881114,13266286;6048969,28278112;6219678,91701606;6393157,83572838;6569310,10130097;6748028,67382543;6929195,07499835;7112679,08506434;7298338,47782887;7486018,79891366;7675553,1925335;7866762,28212924;8059454,11019073;8253424,14253913;8448455,3422032;8644318,31781441;8840771,55115385;9037561,70810751;9234424,03682019;9431082,8562819;9627252,13793129;9822636,1821213;10016930,3904642;10209822,1341615;10400991,7174359;10590113,4341261;10776856,7143925;10960887,3573227;11141868,8440441;11319463,7247491;11493335,0718533;11663147,9903429;11828571,1752556;11989278,5051974;12144950,6598492;12295276,7485834;12439955,9366103;12578699,0545326;12711230,176813;12837288,1544768;12956628,0873823;13069022,7216163;13174263,7579994
"sCumulativeProduction1";1e+07;10003184,5;10006369;10009586,1738587;10012861,5440935;10016215,25102;10019663,44376;10023219,3564462;10026894,1278862;10030697,4157332;10034637,8491656;10038723,3574089;10042961,4119053;10047359,3650335;10051924,4221592;10056663,6548262;10061584,0614713;10066692,6526525;10071996,5451854;10077503,0548212;10083219,7806928;10089154,6426314;10095315,9427762;10101712,4223815;10108353,2980664;10115248,2730325;10122407,5266152;10129841,689548;10137561,8131408;10145579,3393537;10153906,0766168;10162554,1838794;10171536,1641106;10180864,8668314;10190553,4983802;10200615,6383284;10211065,260488;10221916,7571413;10233184,9653634;10244885,1945846;10257033,2546801;10269645,4840757;10282738,7775424;10296330,6134964;10310439,0807068;10325082,9043842;10340281,4716596;10356054,8565098;10372423,8442107;10389409,9554387;10407035,4701549;10425323,4514263;10444297,7693374;10463983,1251418;10484405,0757832;10505590,0588958;10527565,4183649;10550359,430501;10574001,3308534;10598521,3416648;10623950,6999473;10650321,6861409;10677667,6533058;10706023,0567852;10735423,4842713;10765905,6862026;10797507,6064138;10830268,4129628;10864228,5290527;10899429,6639686;10935914,8439434;10973728,4428683;11012916,2127536;11053525,3138484;11095604,344313;11139203,3693389;11184373,949595;11231169,168876;11279643,6608125;11329853,6344949;11381856,8988469;11435712,8855746;11491482,6704999;11549228,9930737;11609016,2738504;11670910,6296855;11734979,8864076;11801293,5886943;11869923,0068703;11940941,1403236;12014422,7172245;12090444,190212;12169083,7276961;12250421,2004086;12334538,1628188;12421517,8290152;12511445,0426373;12604406,2404302;12700489,4089797;12799784,0341743;12902381,0429289;13008372,736699;13117852,7163048;13230915,7975832;13347657,9173817;13468176,0294142;13592567,9895009;13720932,4297264;13853368,621064;13989976,3240339;14130855,6269884;14276106,7716461;14425829,9655386;14580125,1810718;14739091,9409619;14902829,08986;15071434,5520495;15245005,0751769;15423635,9600589;15607420,7767047;15796451,0667916;15990816,0329483;16190602,2153148;16395893,1559805;16606769,0520375;16823306,3981312;17045577,6195395;17273650,6969717;17507588,7844377;17747449,8217044;17993286,1430209;18245144,0839644;18503063,5884187;18767077,8178626;19037212,7652943;19313486,8762678;19595910,6796462;19884486,4307968;20179207,7700556;20480059,399366;20787016,7800573;21100045,8547593;21419102,7964518;21744133,7876217;22075074,8324381;22411851,6047629;22754379,3346792;23102562,7360556;23456295,977454;23815462,6984494;24179936,0731477;24549578,9223744;24924243,8756618;25303773,5837821;25688000,9821753;26076749,6051944;26469833,9506486;26867059,893674;27268225,1485014;27673119,7762321;28081526,7362826
"sCumulativeProduction2";1e+07;10003184,5;10006369;10009586,1738587;10012861,5440935;10016215,25102;10019663,44376;10023219,3564462;10026894,1278862;10030697,4157332;10034637,8491656;10038723,3574089;10042961,4119053;10047359,3650335;10051924,4221592;10056663,6548262;10061584,0614713;10066692,6526525;10071996,5451854;10077503,0548212;10083219,7806928;10089154,6426314;10095315,9427762;10101712,4223815;10108353,2980664;10115248,2730325;10122407,5266152;10129841,689548;10137561,8131408;10145579,3393537;10153906,0766168;10162554,1838794;10171536,1641106;10180864,8668314;10190553,4983802;10200615,6383284;10211065,260488;10221916,7571413;10233184,9653634;10244885,1945846;10257033,2546801;10269645,4840757;10282738,7775424;10296330,6134964;10310439,0807068;10325082,9043842;10340281,4716596;10356054,8565098;10372423,8442107;10389409,9554387;10407035,4701549;10425323,4514263;10444297,7693374;10463983,1251418;10484405,0757832;10505590,0588958;10527565,4183649;10550359,430501;10574001,3308534;10598521,3416648;10623950,6999473;10650321,6861409;10677667,6533058;10706023,0567852;10735423,4842713;10765905,6862026;10797507,6064138;10830268,4129628;10864228,5290527;10899429,6639686;10935914,8439434;10973728,4428683;11012916,2127536;11053525,3138484;11095604,344313;11139203,3693389;11184373,949595;11231169,168876;11279643,6608125;11329853,6344949;11381856,8988469;11435712,8855746;11491482,6704999;11549228,9930737;11609016,2738504;11670910,6296855;11734979,8864076;11801293,5886943;11869923,0068703;11940941,1403236;12014422,7172245;12090444,190212;12169083,7276961;12250421,2004086;12334538,1628188;12421517,8290152;12511445,0426373;12604406,2404302;12700489,4089797;12799784,0341743;12902381,0429289;13008372,736699;13117852,7163048;13230915,7975832;13347657,9173817;13468176,0294142;13592567,9895009;13720932,4297264;13853368,621064;13989976,3240339;14130855,6269884;14276106,7716461;14425829,9655386;14580125,1810718;14739091,9409619;14902829,08986;15071434,5520495;15245005,0751769;15423635,9600589;15607420,7767047;15796451,0667916;15990816,0329483;16190602,2153148;16395893,1559805;16606769,0520375;16823306,3981312;17045577,6195395;17273650,6969717;17507588,7844377;17747449,8217044;17993286,1430209;18245144,0839644;18503063,5884187;18767077,8178626;19037212,7652943;19313486,8762678;19595910,6796462;19884486,4307968;20179207,7700556;20480059,399366;20787016,7800573;21100045,8547593;21419102,7964518;21744133,7876217;22075074,8324381;22411851,6047629;22754379,3346792;23102562,7360556;23456295,977454;23815462,6984494;24179936,0731477;24549578,9223744;24924243,8756618;25303773,5837821;25688000,9821753;26076749,6051944;26469833,9506486;26867059,893674;27268225,1485014;27673119,7762321;28081526,7362826
"sPerceivedCompTargetCapacity1";63690;72767,5;79575,625;84681,71875;88511,2890625;91383,466796875;93537,6000976562;95153,2000732422;96364,9000549316;97273,6750411987;97955,256280899;101392,065590154;107097,684277572;114286,765573503;122584,571546426;131822,435786812;141936,972496052;152920,767162204;164798,508875483;176648,58537552;188102,187548227;199076,926386546;209629,813466221;219876,650234849;229949,135535663;239973,467918977;250061,033503183;260305,677686712;270784,131665807;281552,619846353;292657,330336924;304138,514313464;316031,251955117;328365,319982675;341165,094509049;354449,764481498;368233,871880325;382529,26774582;397345,353122736;412689,404940683;428567,450024288;444985,549322481;461951,164877096;479474,312247378;497568,322471951;516250,167830739;535540,402697974;555462,828275589;576043,981582383;597312,557000989;619298,845459431;642034,244151049;665550,86185503;689881,225201015;715058,079175459;741114,267705375;768082,681141276;795996,255888538;824888,011447408;854791,111906003;885738,941531354;917765,186630693;950903,917846598;985189,668436217;1020657,50502131;1057343,08799117;1095282,71939268;1134513,3767956;1175072,73229692;1216999,15649736;1260331,70788958;1305110,10858253;1351374,7076136;1399166,43325824;1448526,73574491;1499497,52165218;1552121,08104388;1606440,0081208;1662497,11586719;1720335,34487403;1779997,66624878;1841526,97828825;1904965,99640364;1970357,13564737;2037742,3850977;2107163,17330533;2178660,22398963;2252273,40118659;2328041,54308806;2406002,28386942;2486191,8628745;2568644,92060955;2653394,28108941;2740470,72017629;2829902,71965409;2921716,20688735;3015934,28002492;3112576,91882347;3211660,68128712;3313198,38644777;3417198,78374677;3523666,20962617;3632600,23209598;3743995,28421598;3857840,2876171;3974118,26738931;4092805,95988026;4213873,41518257;4337283,59633653;4462991,97753772;4590946,14391526;4721085,39573271;4853340,36015821;4987632,61404936;5123874,32149856;5261967,89018051;5401805,65083113;5543269,56446054;5686230,96215494;5830550,32254803;5976077,0922333;6122649,55453731;6270094,75217344;6418228,46933595;6566855,27876934;6715768,65924772;6864751,18871755;7013574,81808502;7162001,23026198;7309782,28861456;7456660,57838289;7602370,04395502;7746636,72408294;7889179,58622397;8029711,46018001;8167940,07009659;8303569,16268153;8436299,72822121;8565831,30962512;8691863,39333477;8814096,87451064;8932235,58748455;9045987,89106014;9155068,29688776;9259199,12786248;9358112,19232409;9451550,45880628;9539269,71521882;9621040,19567961;9696648,15776824;9765897,39277359;9828610,65157227;9884630,96911748;9933822,87114726;9976073,44763919;10011293,2787418;10039417,2003892;10060404,8985379;10074241,322926;10080936,9134185;10080732,2738719
"sPerceivedCompTargetCapacity2";63690;72767,5;79575,625;84681,71875;88511,2890625;91383,466796875;93537,6000976562;95153,2000732422;96364,9000549316;97273,6750411987;97955,256280899;101392,065590154;107097,684277572;114286,765573503;122584,571546426;131822,435786812;141936,972496052;152920,767162204;164798,508875483;176648,58537552;188102,187548227;199076,926386546;209629,813466221;219876,650234849;229949,135535663;239973,467918977;250061,033503183;260305,677686712;270784,131665807;281552,619846353;292657,330336924;304138,514313464;316031,251955117;328365,319982675;341165,094509049;354449,764481498;368233,871880325;382529,26774582;397345,353122736;412689,404940683;428567,450024288;444985,549322481;461951,164877096;479474,312247378;497568,322471951;516250,167830739;535540,402697974;555462,828275589;576043,981582383;597312,557000989;619298,845459431;642034,244151049;665550,86185503;689881,225201015;715058,079175459;741114,267705375;768082,681141276;795996,255888538;824888,011447408;854791,111906003;885738,941531354;917765,186630693;950903,917846598;985189,668436217;1020657,50502131;1057343,08799117;1095282,71939268;1134513,3767956;1175072,73229692;1216999,15649736;1260331,70788958;1305110,10858253;1351374,7076136;1399166,43325824;1448526,73574491;1499497,52165218;1552121,08104388;1606440,0081208;1662497,11586719;1720335,34487403;1779997,66624878;1841526,97828825;1904965,99640364;1970357,13564737;2037742,3850977;2107163,17330533;2178660,22398963;2252273,40118659;2328041,54308806;2406002,28386942;2486191,8628745;2568644,92060955;2653394,28108941;2740470,72017629;2829902,71965409;2921716,20688735;3015934,28002492;3112576,91882347;3211660,68128712;3313198,38644777;3417198,78374677;3523666,20962617;3632600,23209598;3743995,28421598;3857840,2876171;3974118,26738931;4092805,95988026;4213873,41518257;4337283,59633653;4462991,97753772;4590946,14391526;4721085,39573271;4853340,36015821;4987632,61404936;5123874,32149856;5261967,89018051;5401805,65083113;5543269,56446054;5686230,96215494;5830550,32254803;5976077,0922333;6122649,55453731;6270094,75217344;6418228,46933595;6566855,27876934;6715768,65924772;6864751,18871755;7013574,81808502;7162001,23026198;7309782,28861456;7456660,57838289;7602370,04395502;7746636,72408294;7889179,58622397;8029711,46018001;8167940,07009659;8303569,16268153;8436299,72822121;8565831,30962512;8691863,39333477;8814096,87451064;8932235,58748455;9045987,89106014;9155068,29688776;9259199,12786248;9358112,19232409;9451550,45880628;9539269,71521882;9621040,19567961;9696648,15776824;9765897,39277359;9828610,65157227;9884630,96911748;9933822,87114726;9976073,44763919;10011293,2787418;10039417,2003892;10060404,8985379;10074241,322926;10080936,9134185;10080732,2738719
"sSmoothCapacity11";63690;70498,125;76029,7265625;80524,1528320312;84175,8741760254;87142,8977680206;89553,6044365168;91512,3036046699;93103,7466787943;94396,7941765203;95447,3952684228;98495,2261902036;103317,597593258;109418,174818515;116554,390064767;124613,447272868;133551,035151162;143361,244402943;154061,961205264;164962,621268458;175743,941168062;186292,166493082;196603,974282863;206731,446706214;216750,536343444;226743,52297947;236789,811843782;246961,649042566;257322,494897665;267922,917927101;278807,019904889;290014,8410933;301582,583053321;313542,259493077;325921,414229656;338743,106761379;352026,185633022;365786,673703512;380037,974119132;394791,146545768;410055,603807519;425840,149446808;442154,123589458;459008,429358602;476416,290068676;494393,680163382;512959,447751438;532135,195987124;551944,992021307;572414,984127963;593572,995385487;615448,141293065;638070,498856923;661470,839428557;685680,427241726;710730,878376737;736654,073952783;763482,118861072;791247,336222874;819982,288171421;849719,814840668;880493,084919676;912335,652402421;945281,515115418;979365,171301889;1014621,67110168;1051086,66031959;1088796,41444798;1127787,86151415;1168098,59293625;1209766,86214812;1252831,57124436;1297332,24626857;1343309,00200424;1390802,49722937;1439853,88138148;1490504,73347602;1542796,99395268;1596772,889919;1652474,85403941;1709945,43710197;1769227,2140966;1830362,68346908;1893394,1590771;1958363,65427178;2025312,75745736;2094282,49844208;2165313,20487997;2238444,34811356;2313714,3777573;2391160,54440713;2470818,70992105;2552723,14478504;2636906,31215727;2723398,63826918;2812228,2689538;2903420,81216952;2996999,06649132;3092982,73565134;3191388,12932853;3292227,85051264;3395510,46990359;3501240,18795393;3609416,48532056;3720033,76266429;3833080,97092211;3948541,23337792;4066391,46107384;4186601,9633347;4309136,05542343;4433949,66560301;4560990,94414965;4690199,8771406;4821507,90812476;4954837,57107253;5090102,13828887;5227205,28725652;5366040,79064881;5506492,23400931;5648432,76583144;5791724,88497975;5936220,2705678;6081759,65953918;6228172,77727999;6375278,32661552;6522884,04050315;6670786,80362013;6818772,8478515;6966618,026403;7114088,17089099;7260939,53529041;7406919,33004935;7551766,3490026;7695211,69093594;7836979,57676948;7976788,26234638;8114351,04573826;8249377,36681988;8381573,99563556;8510646,30479084;8636299,61977473;8758240,63976814;8876178,92014667;8989828,40656365;9098909,00923046;9203148,20482018;9302282,6523388;9396059,80836086;9484239,52624232;9566595,62332828;9642917,39978979;9713011,09257326;9776701,24804449;9833831,99726801;9884268,21848931;9927896,57228186;9964626,39597868;9994390,44541718;10017145,4736684;10032872,6382735;10041731,2102033
"sSmoothCapacity12";63690;70498,125;76029,7265625;80524,1528320312;84175,8741760254;87142,8977680206;89553,6044365168;91512,3036046699;93103,7466787943;94396,7941765203;95447,3952684228;98495,2261902036;103317,597593258;109418,174818515;116554,390064767;124613,447272868;133551,035151162;143361,244402943;154061,961205264;164962,621268458;175743,941168062;186292,166493082;196603,974282863;206731,446706214;216750,536343444;226743,52297947;236789,811843782;246961,649042566;257322,494897665;267922,917927101;278807,019904889;290014,8410933;301582,583053321;313542,259493077;325921,414229656;338743,106761379;352026,185633022;365786,673703512;380037,974119132;394791,146545768;410055,603807519;425840,149446808;442154,123589458;459008,429358602;476416,290068676;494393,680163382;512959,447751438;532135,195987124;551944,992021307;572414,984127963;593572,995385487;615448,141293065;638070,498856923;661470,839428557;685680,427241726;710730,878376737;736654,073952783;763482,118861072;791247,336222874;819982,288171421;849719,814840668;880493,084919676;912335,652402421;945281,515115418;979365,171301889;1014621,67110168;1051086,66031959;1088796,41444798;1127787,86151415;1168098,59293625;1209766,86214812;1252831,57124436;1297332,24626857;1343309,00200424;1390802,49722937;1439853,88138148;1490504,73347602;1542796,99395268;1596772,889919;1652474,85403941;1709945,43710197;1769227,2140966;1830362,68346908;1893394,1590771;1958363,65427178;2025312,75745736;2094282,49844208;2165313,20487997;2238444,34811356;2313714,3777573;2391160,54440713;2470818,70992105;2552723,14478504;2636906,31215727;2723398,63826918;2812228,2689538;2903420,81216952;2996999,06649132;3092982,73565134;3191388,12932853;3292227,85051264;3395510,46990359;3501240,18795393;3609416,48532056;3720033,76266429;3833080,97092211;3948541,23337792;4066391,46107384;4186601,9633347;4309136,05542343;4433949,66560301;4560990,94414965;4690199,8771406;4821507,90812476;4954837,57107253;5090102,13828887;5227205,28725652;5366040,79064881;5506492,23400931;5648432,76583144;5791724,88497975;5936220,2705678;6081759,65953918;6228172,77727999;6375278,32661552;6522884,04050315;6670786,80362013;6818772,8478515;6966618,026403;7114088,17089099;7260939,53529041;7406919,33004935;7551766,3490026;7695211,69093594;7836979,57676948;7976788,26234638;8114351,04573826;8249377,36681988;8381573,99563556;8510646,30479084;8636299,61977473;8758240,63976814;8876178,92014667;8989828,40656365;9098909,00923046;9203148,20482018;9302282,6523388;9396059,80836086;9484239,52624232;9566595,62332828;9642917,39978979;9713011,09257326;9776701,24804449;9833831,99726801;9884268,21848931;9927896,57228186;9964626,39597868;9994390,44541718;10017145,4736684;10032872,6382735;10041731,2102033
