id	author	citations	co-citation links
7228	"kraska, t."	4	168
7240	"kriegel, h.p."	4	123
7273	"krumeich, j."	11	543
7274	"kruschwitz, n."	10	339
7310	"kulkarni, u."	15	639
7314	"kumar, a."	7	99
7321	"kumar, s."	8	153
7323	"kumar, v."	19	376
7332	"kundu, s."	2	206
7363	"kusiak, a."	51	2650
7378	"kwon, y."	5	500
7476	"laney, d."	14	512
7510	"larcker, d.f."	6	213
7534	"last, m."	15	370
7542	"lau, h.c.w."	5	284
7545	"lau, r."	3	204
7552	"lauro, c."	3	222
7557	"lavalle, s."	9	321
7569	"law, r."	4	60
7638	"lee, c.k.m."	3	263
7664	"lee, j."	26	321
7667	"lee, j.h."	5	198
7731	"leidner, d."	4	241
7789	"lesser, e."	11	353
7862	"li, b.h."	7	363
7863	"li, c."	8	339
7875	"li, f."	4	219
7880	"li, j."	21	732
7886	"li, l."	16	509
7896	"li, q."	5	133
7898	"li, s."	4	224
7903	"li, t.s."	3	350
7904	"li, w."	11	118
7906	"li, x."	14	1027
7909	"li, y."	15	253
7915	"li, z."	6	288
7936	"liao, s.-h."	5	214
7940	"liao, t.w."	9	508
7966	"light, d."	5	229
7992	"lin, c.-c."	2	253
8014	"lin, l."	5	238
8067	"linoff, g."	17	198
8103	"liu, b."	8	159
8111	"liu, d."	5	203
8116	"liu, h."	12	254
8126	"liu, n."	4	155
8135	"liu, w.l."	2	203
8137	"liu, x."	11	215
8141	"liu, y."	12	392
8164	"lockamy, a."	4	205
8169	"loebbecke, c."	6	146
8173	"loh, c.s."	10	60
8200	"loos, p."	13	621
8208	"lopez, p."	3	146
8290	"luckham, d."	4	201
8328	"luo, y."	7	378
8337	"lusch, r.f."	6	135
8447	"maeda, a."	2	296
8485	"maimon, o."	16	408
8498	"maki, h."	3	327
8508	"maldonado, s."	2	158
8541	"mandinach, e."	10	406
8542	"mandinach, e.b."	36	1538
8582	"manyika, j."	21	849
8602	"march, j.g."	7	124
8604	"march, s.t."	8	240
8606	"marchand, d.a."	4	222
8669	"marsh, j.a."	24	845
8781	"matzner, m."	6	193
8810	"mayer-schonberger, v."	9	213
8818	"mcafee, a."	15	556
8855	"mccormack, k."	15	639
8940	"means, b."	12	578
8954	"meerkov, s.m."	16	212
8959	"mehdiyev, n."	4	228
9131	"miller, d."	6	117
9194	"mintzberg, h."	10	182
9229	"mithas, s."	13	494
9235	"mitra, p."	3	199
9305	"molloy, o."	19	305
9382	"morison, r."	14	381
9384	"morita, t."	2	296
9386	"mork, p."	5	207
9492	"muller, o."	6	241
9600	"nagi, r."	4	584
9639	"narasayya, v."	7	185
9649	"narver, j.c."	6	146
9676	"navarro, g."	3	120
9687	"nedjah, n."	2	206
9694	"neely, a."	9	77
9695	"negash, s."	8	287
9747	"newcomer, k."	7	63
9775	"ngai, e.w.t."	6	157
9784	"ni, j."	11	184
9863	"nonaka, i."	8	73
9961	"odekerken-schroder, g."	3	222
10051	"ooi, b.c."	3	120
10071	"orlikowski, w."	4	144
10170	"padilla, c."	10	509
10190	"pal, s.k."	4	455
10216	"pan, q.-k."	4	260
10281	"park, b.j."	7	56
10288	"park, j."	14	337
10298	"park, v."	16	501
10344	"patil, d.j."	6	246
10372	"pavlou, p.a."	7	262
10374	"pawlak, z."	13	196
10445	"peng, y."	3	169
10453	"pentland, a."	7	242
10456	"peppard, j."	6	215
10487	"perry, c."	4	128
10529	"pfeffer, j."	13	289
10550	"phillips-wren, g."	10	444
10559	"piatetsky-shapiro, g."	37	520
10567	"piccoli, g."	5	197
10689	"popovic, a."	6	273
10697	"popplewell, k."	3	301
10757	"prentice, p.k."	6	336
10794	"provost, f."	18	355
10814	"pun, k.f."	2	203
10836	"qian, z."	3	313
10847	"qu, l."	3	198
10862	"quinlan, j.r."	27	378
10919	"rai, a."	8	326
10949	"ram, s."	9	275
10959	"ramamurthy, k."	7	401
10994	"ranjan, j."	19	396
11050	"raykov, t."	5	145
11102	"reijers, h.a."	6	206
11227	"ringle, c.m."	6	332
11315	"rogers, e.m."	4	86
11330	"rokach, l."	11	331
11341	"romanowski, c.j."	3	441
11442	"roweis, s.t."	4	102
11445	"rowley, j."	6	148
11447	"roxburgh, c."	16	664
11464	"rubens, n."	4	140
11495	"runger, g.c."	2	296
11513	"russell, m.g."	4	140
11517	"russom, p."	12	454
11561	"sadler-smith, e."	7	161
11665	"sanchez-marono, n."	2	206
11725	"sarkis, j."	4	237
11731	"sarstedt, m."	5	319
11789	"schaaf, r.c."	13	19
11828	"schildkamp, k."	9	371
11843	"schlegel, k."	7	300
11909	"schroeder, r."	4	263
11910	"schroeder, r.g."	5	237
11928	"schunk, d.h."	7	286
12028	"sen, a."	5	256
12058	"seuss, c.d."	4	188
12091	"shah, s."	5	304
12095	"shahbaz, m."	12	435
12097	"shaheen, s.a."	6	90
12112	"shanks, g."	17	570
12139	"sharda, r."	15	340
12152	"sharma, r."	8	267
12165	"shawe-taylor, j."	7	160
12207	"sheng, y."	6	60
12229	"shi, j."	15	185
12275	"shmilovici, a."	13	358
12279	"shneiderman, b."	5	143
12281	"shockley, r."	16	654
12361	"simmons, g."	5	140
12364	"simon, h.a."	18	327
12378	"simoudis, e."	12	249
12411	"sinha, a.p."	4	258
12457	"slater, s.f."	9	230
12488	"smith, a."	7	132
12523	"smith, s."	11	238
12536	"smyth, p."	36	591
12604	"song, m."	6	222
12695	"srikant, r."	19	241
12696	"sriniva, s."	2	296
12837	"still, k."	4	140
12872	"storey, v."	6	243
12873	"storey, v.c."	17	615
12887	"straub, d."	6	288
12906	"stringfield, s."	8	278
12970	"sugumaran, v."	3	122
12988	"sun, j."	5	303
13010	"supovitz, j."	9	330
13011	"supovitz, j.a."	7	180
13049	"swami, a."	10	135
13068	"swinnerton, j.a."	7	335
13069	"swoyer, s."	4	214
13106	"taisch, m."	5	251
13198	"tao, f."	40	1951
13260	"teece, d.j."	12	393
13277	"tenenhaus, m."	3	222
13323	"thearling, k."	13	148
13328	"theodoulidis, b."	3	231
13358	"thommes, m."	9	99
13363	"thompson, d."	2	206
13396	"tian, y."	6	135
13400	"tibshirani, r."	7	173
13482	"toothman, d.r."	8	224
13485	"topi, h."	7	249
13551	"trkman, p."	14	478
13573	"tsai, c.y."	3	302
13594	"tschannen-moran, m."	5	173
13608	"tseng, l.t."	2	296
13615	"tseng, t.-l."	2	296
13616	"tseng, t.l."	4	321
13665	"turban, e."	11	217
13806	"van der aalst, w."	3	167
13808	"van der aalst, w.m.p."	21	400
13818	"van dongen, b.f."	7	186
13842	"van oppen, c."	3	222
13894	"vargo, s."	5	155
13896	"varian, h."	5	114
13905	"vasarhelyi, m.a."	5	88
13942	"venkatesh, v."	10	176
13945	"venkatraman, n."	7	244
13952	"vera-baquero, a."	11	211
14017	"vinzi, v.e."	3	222
14130	"waller, m.a."	8	337
14152	"wamba, s.f."	4	202
14164	"wang, c."	8	386
14179	"wang, g."	7	317
14182	"wang, h."	13	372
14187	"wang, j."	17	328
14193	"wang, k."	16	339
14195	"wang, l."	14	677
14206	"wang, q."	8	106
14207	"wang, r."	5	156
14208	"wang, r.y."	10	180
14209	"wang, s."	12	224
14218	"wang, w."	11	468
14223	"wang, x."	8	233
14226	"wang, x.z."	4	462
14227	"wang, y."	18	635
14232	"wang, z."	5	222
14275	"watson, h."	13	608
14276	"watson, h.j."	26	817
14289	"wayman, j."	7	328
14290	"wayman, j.c."	29	1103
14303	"weber, r."	5	315
14327	"wei, g.w."	11	33
14337	"weijters, a.j.m.m."	5	148
14341	"weill, p."	11	375
14406	"werth, d."	11	543
14430	"wetzels, m."	4	246
14531	"williams, n."	9	230
14536	"williams, s."	12	287
14568	"winter, r."	8	333
14583	"witten, i.h."	9	145
14585	"wixom, b."	20	729
14586	"wixom, b.h."	15	501
14592	"wohlstetter, p."	10	196
14646	"wortmann, f."	10	403
14680	"wu, h."	2	158
14684	"wu, j."	8	140
14691	"wu, q."	5	246
14693	"wu, s."	8	169
14698	"wu, x."	11	404
14737	"xiao, w."	3	210
14773	"xu, j."	8	250
14777	"xu, l."	8	234
14778	"xu, l.d."	9	504
14784	"xu, x."	10	439
14785	"xu, y."	15	217
14849	"yang, h."	5	186
14860	"yang, q."	5	214
14863	"yang, s."	8	170
14870	"yang, x."	3	122
14893	"yao, x."	4	237
14934	"yeoh, w."	6	205
14956	"yin, r.k."	6	149
15008	"yu, c."	6	131
15012	"yu, j."	5	121
15026	"yu, y."	3	217
15082	"zakarian, a."	6	228
15151	"zhang, c."	11	258
15152	"zhang, c.-y."	4	184
15156	"zhang, g."	6	315
15159	"zhang, h."	6	147
15160	"zhang, j."	11	293
15163	"zhang, l."	38	1772
15174	"zhang, t."	8	232
15177	"zhang, x."	13	463
15181	"zhang, y."	17	836
15184	"zhang, z."	11	288
15189	"zhao, d."	5	252
15195	"zhao, l."	6	352
15197	"zhao, q."	3	310
15225	"zhou, j."	3	209
15228	"zhou, l."	4	263
15232	"zhou, s."	7	255
15233	"zhou, x."	6	73
15238	"zhou, z."	6	312
15250	"zhu, q."	3	159
15255	"zhu, x."	5	207
15268	"zikopoulos, p."	6	205
