Year	Link
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983595576&partnerID=40&md5=a72e9738d5c5b8381cf9ecfdae6e6051"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975503840&partnerID=40&md5=7ee247913cc0ca90762111c202faa8b4"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978904004&partnerID=40&md5=dcc7cbc94dc95d29f9fbf3c70a18771b"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953231341&partnerID=40&md5=34e873f2a6d2ff198ad442a91ee4ff82"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979871439&partnerID=40&md5=69256b435ab36274dd698c15f371508f"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910644036&partnerID=40&md5=dcf216cb9a2ac325cb05e6fb6c2f0bc4"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984662918&partnerID=40&md5=288934ddbd7d5435e40295dfe01a0f83"""
2015	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989270963&partnerID=40&md5=e100e14be5f8e944a209ee895a09b77a"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960097469&partnerID=40&md5=8d553d45425f3f919fa6ed0a06d5c2fa"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978430438&partnerID=40&md5=dfec0602e5d257d8216082dabc08ac95"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984950392&partnerID=40&md5=0eea20a32a0e6a3a53301092e8aabdaf"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978834538&partnerID=40&md5=88179c78491dfba32af514370b158c37"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978818252&partnerID=40&md5=48624495115d0f393d01bdd251f6bf36"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924311301&partnerID=40&md5=121d93d8bc1a5b58dbf9ae9665964514"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979964877&partnerID=40&md5=f7d2660b13953c1394acee2121554546"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976479423&partnerID=40&md5=ed718918c2eaa246a6f5215d82525f0f"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976515145&partnerID=40&md5=26f7af7ecbe102765b9f37f8ac8c7339"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976463666&partnerID=40&md5=49d106e18fd82eadbbc6e566b5b325f3"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958158623&partnerID=40&md5=5765222c05fa809245f736b481583d8a"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973162108&partnerID=40&md5=1ba240fc5b9fc0640379024a2e082d5c"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896553252&partnerID=40&md5=ea44e1b846b35294d4face0137484c79"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982972458&partnerID=40&md5=555482a6a510366fc7e2d0d0af995eb3"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975062409&partnerID=40&md5=ae6d51dea33e7eeaf573b1b0cbfd64fd"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974667629&partnerID=40&md5=65c284937f0413ceb3f2d83bddbe373e"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962645715&partnerID=40&md5=50dc0f2ce63093cec7fa20f074a37ecc"""
2016	"""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955611267&partnerID=40&md5=57594a56650c4154ab4d710112e22138"""
