Authors,Link
"Tsuji S., Omori H., Samejima K., Yano K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962680386&partnerID=40&md5=b172f44773f2d37d511d9c57ed8b904b"
"Chee T.C., Baharudin A.S., Karkonasasi K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961744657&partnerID=40&md5=62a3eca61cc65b3d8fad9cf79a4763d0"
"Troilo M., Bouchet A., Urban T.L., Sutton W.A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949091565&partnerID=40&md5=a987196b88f2912a4f9e3b19d0433aac"
"Hatch R.S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959266485&partnerID=40&md5=4345df2c2d719226fed9cb267cd14ba9"
"Wagner S., Brandt T., Neumann D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949099396&partnerID=40&md5=fda041351999e1366eea123cedb0398d"
"Datnow A., Hubbard L.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957433578&partnerID=40&md5=71fdf693813956038a3919df7ee2b47c"
"Massis B.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953714550&partnerID=40&md5=9aefacab9f17a9caa61f6ae127ece976"
"Fulker D., Timur A., Dew K., Butler J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958173624&partnerID=40&md5=51e24244ba66fa414a0dc49792c8ed6a"
"Hartmann P.M., Zaki M., Feldmann N., Neely A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989261697&partnerID=40&md5=7a965b8c9529a2eec7b28d02a979746a"
"Ranjan S., Jha V.K., Pal P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989264354&partnerID=40&md5=cd7b1e4149e045c4fb81c2d15288106b"
"Liu P., Yi S.-P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973497156&partnerID=40&md5=d6174ca6cf6fd0d59d01cd19631388e9"
"Faller P., Hunt J., Van Hooydonk E., Mailloux Z., Schaaf R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957900857&partnerID=40&md5=01b8a95d1b2f85c05bddfbbca3c1328f"
"Faller P., Hunt J., van Hooydonk E., Mailloux Z., Schaaf R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976546307&partnerID=40&md5=0db0f6dd6753481edba0611389ee16a5"
"Li J.-L., Yan W.-W., Bai X.-H., Shao H.-H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959527409&partnerID=40&md5=4a7c51bb6c947312bd3aa4be52c50f43"
"Xu J., Sun K., Xu L.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949220678&partnerID=40&md5=661f9ffcae42983f2b25914ad09f1146"
"Palanimalai S., Paramasivam I.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964539511&partnerID=40&md5=c26920ab70b3c46bc5bd324be5749ff7"
"Kirubakaran A., Aramudhan M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976416932&partnerID=40&md5=1cb65a09a6451e8dbb6ba6df057e4844"
"Vera-Baquero A., Colomo-Palacios R., Molloy O.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951084855&partnerID=40&md5=88d70840e41352e48b45e9007d61ea2c"
"Yang H.-S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962106128&partnerID=40&md5=4d53b3e3b81f6eba1f8b7820a5764b65"
"Chongwatpol J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988900369&partnerID=40&md5=85744a98c94a5ef96796270147405073"
"Kim H., Choi M., Jeon B., Kim H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958038419&partnerID=40&md5=a946d5172b30920e564ec690d15baf45"
"Comuzzi M., Patel A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988867540&partnerID=40&md5=9df04655bd97b9326bc027dae24b00a4"
"Kumaran S.R., Othman M.S., Yusuf L.M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988422728&partnerID=40&md5=5ee03f841321a6da8e615a06ea0d7733"
"Alexander A.S., Jothivenkateswaran C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989220575&partnerID=40&md5=9da345ff900d5406e77150ddbe5dbb42"
"Gong J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988596761&partnerID=40&md5=37a0387963d54c3b2317bc037751a4c8"
"Newcomer K., Brass C.T.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990365392&partnerID=40&md5=b9cf7b0adcd25953b40f30e504248e7c"
"Hariharan V., Thangavel N.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978791311&partnerID=40&md5=d6f7b5d4c79ccb3ba42b1b9ded9b82d2"
"Cegielski C.G., Jones-Farmer L.A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953751067&partnerID=40&md5=11b1060a24baa03e643c756b8f613265"
"Turel O., Kapoor B.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978517789&partnerID=40&md5=26884d187d028e832b17faa1a86df88e"
"Tremblay M.C., Deckard G.J., Klein R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981249279&partnerID=40&md5=cb5e9f5ac2635af5593a1c491d5bd9b7"
"Mookherjee R., Mukherjee J., Martineau J., Xu L., Gullo M., Zhou K., Hazlewood A., Zhang X., Griarte F., Li N.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956949305&partnerID=40&md5=2588f4287fbce130539a28fcf25c5ce0"
"Mohammadi M., Al-Azab F., Raahemi B., Richards G., Jaworska N., Smith D., De La Salle S., Blier P., Knott V.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953356448&partnerID=40&md5=1b4329874ca452582409c79043b3916a"
"Sleesman D.J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964658728&partnerID=40&md5=ade9884e10390c2fb3d43de4ca6c7551"
"Ennas G., Biggio B., Di Guardo M.C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947128944&partnerID=40&md5=56ad17d269fa35e43f4eb015683afea6"
"Kowalczyk M., Buxmann P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943801062&partnerID=40&md5=4a71d20b13072c5c6462743fd7cf2866"
"Kim J., Lee W.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969963360&partnerID=40&md5=d31a2ebe424e9cbbd4081803ff2f93ea"
"Payne D., Landry B.J.L., Dean M.D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945424531&partnerID=40&md5=5fba96b2db7b3bc7fbfdd210defd16b7"
"Gimenez Isasi N.K., Morosini Frazzon E., Uriona M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961875610&partnerID=40&md5=83be4c4bc6687763c46137451d8c692e"
"Van Alstin C.M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954595389&partnerID=40&md5=da5c3097dc5a3dff1757dd0a64bf98ed"
"Jack Weiner, Balijepally V., Tanniru M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952879124&partnerID=40&md5=d029c2f6a829223132e057a4993d7c95"
"Luo M., Yan H.-C., Hu B., Zhou J.-H., Pang C.K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929575154&partnerID=40&md5=e661ad35f1c89e23ea2eb04e2d39a926"
"Tsuda T., Inoue S., Kayahara A., Imai S.-I., Tanaka T., Sato N., Yasuda S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938794572&partnerID=40&md5=f5b6d11b67354f2c12d1d2f188e0e952"
"Cao G., Duan Y., Li G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937708992&partnerID=40&md5=6b5afdc3ee95b4af6f1d7b9f9073a2bd"
"Chongwatpol J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925299838&partnerID=40&md5=b57589c1a0cb1c404555f16b5dbddf31"
"Tate A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943521146&partnerID=40&md5=e4ca26e2d4b8e0d535ce081651a4c49a"
