Link,Affiliations
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991094139&partnerID=40&md5=76fce25f7c6d2726fc90d4490dbb27ff","State Key Laboratory of Water Resources and Hydropower Engineering Science, Hubei Collaborative Innovation Center for Water Resources Security, Wuhan University, Wuhan, China; Bureau of Hydrology, Changjiang Water Resources Commission, Wuhan, China"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950970778&partnerID=40&md5=d82473b5bb3e003cc4c1169e3e1dad30","Delft University of Technology, Faculty of Technology Policy and Management, Delft, Netherlands; TNO, Van Mourik Broekmanweg 6, Delft, Netherlands"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978139041&partnerID=40&md5=04912f04005c135b2429e25c3613c1db","Department of Biomedical Engineering, University of Southern California, Los Angeles, CA, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979939227&partnerID=40&md5=76c3f6ef62677e9d995ac3d263e503f3","University of Michigan, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978717702&partnerID=40&md5=995ed5931a08c585e860d41330c42d11","Transportation Research Group, University of Southampton, Southampton, UK"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978062297&partnerID=40&md5=42b154f6d6c6d2f383c64be327b6f6f9","Imanova Limited, Burlington Danes Building, Imperial College London, Hammersmith Hospital, Du Cane Road, London, United Kingdom; WuXi Clinical Development Service, 19th Floor, Building A, FuXing Plaza, 388 Ma Dang Road, Shanghai, China; GlaxoSmithKline, Neurosciences, 917 Halei Road, Zhangjiang Hi-tech Park, Pudong, Shanghai, China; AstraZeneca UK Limited, Melbourn Science Park, Royston, Herts, United Kingdom; GlaxoSmithKline, Neurosciences, Gunnels Wood Road, Stevenage, United Kingdom; UCB Biosciences Inc, PO Box 110167, Research Triangle Park, NC, United States; GlaxoSmithKline, Neurosciences, Clinical Unit Cambridge, Addenbrooke’s Hospital, Cambridge, United Kingdom"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954289299&partnerID=40&md5=e3360f16e7bdee175c8b4046faf43dfb","Department of Mathematics and Statistics, University of Melbourne, Melbourne, VIC, Australia"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975859162&partnerID=40&md5=cac3ea0191f47f7861a791ae73d12e2d","Division of STD Prevention, Centers for Disease Control and Prevention Mailstop E-80, 1600 Clifton Road, Atlanta, GA, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980325780&partnerID=40&md5=610078321cd5b616c6ec183daf0156ff","Research Imaging Institute, University of Texas Health Science Center San Antonio, San Antonio, TX, United States; Department of Physics, Florida International University, Miami, FL, United States; Department of Mathematics and College of Education, Texas State University, San Marcos, TX, United States; Department of Psychiatry, Yale University School of Medicine, New Haven, CT, United States; Olin Neuropsychiatry Research Center, Institute of Living, Hartford Hospital, Hartford, CT, United States; Genomics Computing Center, South Texas Diabetes and Obesity Institute, University of Texas Rio Grande Valley School of Medicine, Edinburg, TX, United States; Research Service, South Texas Veterans Health Care System, San Antonio, TX, United States; Neuroimaging Laboratory, Shenzhen University School of Medicine, Shenzhen, Guangdong, China"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978977087&partnerID=40&md5=108cd14a32ff0f50a4c0c19553ea191e","IDEA Consult, Brussels, Belgium; Leiden University, Netherlands; Delft University of Technology, Mekelweg 5, 2628 CC, Delft, Netherlands"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977943161&partnerID=40&md5=5b1d66cea54d67abccfac4a1ae8ffed3","Cired, Nogent-sur-Marne, France; Ecole des Ponts ParisTech, Champs-sur-Marne, France; Chief Economist Office for Sustainable Development, World Bank, Washington, DC, United States; National Center for Atmospheric Research (NCAR), Boulder, CO, United States; University of Waterloo, Department of Knowledge Integration, Waterloo, ON, Canada"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978531510&partnerID=40&md5=29079a311a55f0b8307b7fc8c19f1905","Dept. Computer Science, University of Verona, Italy; Dept. Pathology and Diagnostics, University of Verona, Italy; Dept. Clinical and Molecular Biomedicine, University of Catania, Italy"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974678582&partnerID=40&md5=c01ff300a6f87572cbc40c882aaba650","University of Rochester, Rochester, NY, United States; IMEC Research, Leuven, Belgium"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969752485&partnerID=40&md5=25a6c69b6ad57569cedfa4ce9b79da0a","Department of Primary Education Scientific and Pedagogic Guidance, Regional Primary and Secondary Education Directorate of Western Macedonia, Kozani, Greece; School of Education, Aristotle University of Thessaloniki, Thessaloniki, Greece"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960118746&partnerID=40&md5=5c704c4b2fc5fe5ec54bdb34371e6482","Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, Netherlands"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958522250&partnerID=40&md5=68db05423f7c14b3b2b96104519f1127","Department of Civil Engineering, University of Bristol, United Kingdom; Department of Mathematics, University of Bristol, United Kingdom; School of Geographical Sciences, University of Bristol, United Kingdom; Environmental Change Institute, University of Oxford, United Kingdom; Department of Mathematics and Computer Science, University of Exeter, United Kingdom; Lancaster Environment Centre, Lancaster University, United Kingdom; Cabot Institute, University of Bristol, United Kingdom"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959900245&partnerID=40&md5=83d1973c3e62b25701ece21baca11132","Delft University of Technology, Faculty of Technology, Policy and Management, Delft, Netherlands"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968677712&partnerID=40&md5=9d7ab48aca4e3102dfd1b60e0cb45a3b","Rotman Research Institute at Baycrest, Toronto, Canada; Department of Electrical and Computer Engineering, McMaster University, Hamilton, Canada; Department of Psychology-University of Toronto, Canada; Toronto Rehabilitation Institute-University Health Network, Canada"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957088452&partnerID=40&md5=76d241f04bb8e1dcc4537bdd48f623c4","University of Central Florida, Department of Civil, Environmental, and Construction Engineering, Orlando, FL, United States; Walton Sustainability Solutions Initiatives, The Julie Ann Wrigley Global Institute of Sustainability, Arizona State University, Tempe, AZ, United States; Master of Environmental Law and Policy, Certificate in Energy Law, Vermont Law School, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961288888&partnerID=40&md5=66a5a29b269d2e75269c7ddb386295ee","Department of Urban Studies and Planning, Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA, United States; Institute for Environmental Science and Technology, Universitat Autònoma de Barcelona, 08193 Bellaterra, Cerdanyola del Vallès, Barcelona, Spain"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954329166&partnerID=40&md5=705d287dd380ee1f7a9331296ca50fc7","Department of Electronics, Information, and Bioengineering, Politecnico di Milano, P.zza Leonardo da Vinci, 32, Milano, Italy; Institute of Environmental Engineering, ETH Zurich, Zurich, Switzerland"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961912390&partnerID=40&md5=3b5c0300c8ec6dfbe393699641682a9a","College of Information System and Management, Department of System Engineering, National University of Defense Technology, Changsha, Hunan Province, China"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960462047&partnerID=40&md5=73e229d9c8ec1f42e46742fe62ebf1b0","International Institute for Applied, Laxenburg, Austria"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965139286&partnerID=40&md5=cb0f485055497d6accf17b58915b42ef","Max Planck Institute for Biological Cybernetics, Tübingen, Germany; Max Planck Institute for Intelligent Systems, Tübingen, Germany; Graduate Training Center of Neuroscience, Tübingen, Germany; School of Engineering and Applied Sciences, University of Pennsylvania, Philadelphia, PA, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955474448&partnerID=40&md5=73c78aca3634f5a5a875f237ed6e1169","State Key Laboratory of Water Environment Simulation, School of Environment, Beijing Normal University, Beijing, China; Beijing Engineering Research Center for Watershed Environmental Restoration and Integrated Ecological Regulation, School of Environment, Beijing Normal University, Beijing, China; Institute for Energy, Environment and Sustainable Communities, University of Regina, Regina, SK, Canada"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959295395&partnerID=40&md5=1e467b45aff60240234fa4b715ff5cc7","Centre for Mined Land Rehabilitation, The University of Queensland, Brisbane, QLD, Australia; UFZ-Helmholtz Centre for Environmental Research, Leipzig, Germany; Department Computational Hydrosystems, UFZ-Helmholtz Centre for Environmental Research, Leipzig, Germany; Institute of Geosciences, Friedrich-Schiller-University of Jena, Jena, Germany; Department of Ecological Modelling, UFZ-Helmholtz Centre for Environmental Research, Leipzig, Germany; Institute for Mathematics, University of Osnabrück, Osnabrück, Germany; ARC Centre of Excellence for Environmental Decisions, The University of Queensland, Brisbane, QLD, Australia; School of Biological Sciences, The University of Queensland, Brisbane, QLD, Australia"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987736300&partnerID=40&md5=aaad02a46a54a6c4b745caa9dbcfb6a2","School of Enviornment, Faculty of Science, University of Auckland, Auckland, New Zealand"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954482916&partnerID=40&md5=71e2d8680b0fa2c154ef24ce83a84d9a","Land Economy, Environment and Society, Scotland's Rural College (SRUC), Peter Wilson Building, Kings Buildings, West Mains Road, Edinburgh, United Kingdom"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951862110&partnerID=40&md5=54cc8460f7b1ff8220bfe41d0d951350","Sostenipra (ICTA - IRTA - Inèdit Innovació SL) 2014 SGR 1412., Institute of Environmental Science and Technology (ICTA), Universitat Autònoma de Barcelona (UAB), Cerdanyola Del Vallès (Bellaterra), Barcelona, Spain; Centro Universitario de la Defensa., Ctra. de Huesca s/n, Zaragoza, Spain; Inèdit Innovació, S.L. Parc de Recerca de la Universitat Autònoma de Barcelona (UAB), Cerdanyola del Vallès (Bellaterra), Barcelona, Spain; Department of Chemical Engineering (XBR), Universitat Autònoma de Barcelona (UAB), Cerdanyola del Vallès (Bellaterra), Barcelona, Spain"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957076548&partnerID=40&md5=13eac538f2eaa321c8ed037306f6d9a8","Department of Civil, Environmental, and Construction Engineering, University of Central Florida, Orlando, FL, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975709121&partnerID=40&md5=b908afccb6a473dc56cce3b6209f8f7f","Department of Geography and Environmental Engineering The Johns Hopkins University Baltimore MD USA; Department of Industrial and Operations Engineering University of Michigan Ann Arbor MI USA"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992217822&partnerID=40&md5=4e26e36de16227be3154a64ecc21d207","Grantham Research Institute on Climate Change and the Environment, London School of Economics and Political Science, London, United Kingdom; Sustainability Research Institute and ESRC Centre for Climate Change Economics and Policy, School of Earth and Environment, University of Leeds, Leeds, United Kingdom"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981501196&partnerID=40&md5=17a7e80ed26a7972943e5f7ff32b355e","Regent's University London, United Kingdom; University of Gloucestershire, United Kingdom; Ulster University, Ireland; University of Hertfordshire, United Kingdom; Grenoble Graduate Business School, France; SHS Charity, United Kingdom"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953350016&partnerID=40&md5=acb3d2ed9a6e09c95f8ea36c3c3a3afa","Adaptation and Social Learning, Global Climate Forum (GCF), Neue Promenade 6, Berlin, Germany; Alterra Wageningen UR, Postbus 47, Wageningen, Netherlands"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985953092&partnerID=40&md5=342cb6cf8db9f4dfcada708496c67a1c","National Aerospace Laboratory, R&D Engineer, Training, Simulation & Operator Performance, Anthony Fokkerweg 2, Amsterdam, Netherlands; Boeing Research & Technology Europe, Safety R&D, Avd. Sur del Aeropuerto de Barajas, 38, Madrid, Spain"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978204067&partnerID=40&md5=34d8f1e5a09a9faba1feb6f53f15e75d","School of Management, University of South Australia, Adelaide, SA, Australia; Business School, University of South Australia, Oxfordshire, Adelaide, SA, Australia"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978424178&partnerID=40&md5=793fa54c41ba31e702647e270157ead1","Department of Mathematics and Statistics, University of Melbourne, Melbourne, VIC, Australia"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976906537&partnerID=40&md5=17d431fb4f97d370b4e6dc9e26f0f4a1","Department of Electrical Engineering Sharif University of Technology Tehran Iran"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978429658&partnerID=40&md5=cbb527241cb67be7c55cbaff6599befb","Faculty of Technology, Policy and Management, Delft University of Technology, Delft, Netherlands"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995550673&partnerID=40&md5=4c7894d64a5a447d4ffbabb816433aa5","Geography, Maynooth UniversityMaynooth, Co. Kildare Ireland; School of Natural Sciences and PsychologyLiverpool John Moores UniversityLiverpool UK; Geography, University of LoughboroughLoughborough UK; Georgia Institute of TechnologyAtlanta, Georgia USA"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976402537&partnerID=40&md5=e3539aa8723851da528d75a40d9348dd","Dept. of Civil and Environmental Engineering, Florida International Univ., Miami, FL, United States; OHL School of Construction, College of Engineering and Computing, Florida International Univ., Miami, FL, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992364759&partnerID=40&md5=e848aedf03f3f8ac332b85628ec3da83","Center for Information Technology and Architecture (CITA), KADK, Copenhagen, Denmark; Computer Graphics and Geometry Laboratory (LGG), EPFL, Lausanne, Switzerland"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994568483&partnerID=40&md5=7084a17c4009eec66a2a47cb3aec4427","Department of Computer Science and Software Engineering, Samuel Ginn College of Engineering, Auburn University, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949198542&partnerID=40&md5=5af34adc332b4246102a9b23b57741cd","Department of Computer Science, Wayne State University, Detroit, MI, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979620079&partnerID=40&md5=ae842c8f71387408d219c19a6e14249e","Culture, Communication and Computing Research Institute, Sheffield Hallam University, Sheffield, United Kingdom"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920169510&partnerID=40&md5=190dc8aa8f17bbf552ce14244d7e54a9","Central Laboratory and Vaccination Centre, Stiftung Juliusspital, Würzburg, Germany; Department of Gynecologic Oncology, Poznan University of Medical Sciences, Poznań, Poland; Charité Universitätsmedizin Berlin, Campus Benjamin Franklin, Berlin, Germany; Department of Preventive Medicine, University School of Medical Sciences, Poznań, Poland; Vitamed Bydgoszcz, Bydgoszcz, Poland; Munich, Germany; GlaxoSmithKline Vaccines, Bangalore, India; GlaxoSmithKline Vaccines, Wavre, Belgium"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951856906&partnerID=40&md5=fef3607c67fca36a9a1166c53ac8da7f","Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, Netherlands; Department of Flood and Drought Risk Analysis, Deltares, P.O. Box 17, Delft, Netherlands; Twente Water Centre, Twente University, P.O. Box 217, Enschede, Netherlands; Centre for the Study of the Sciences and the Humanities and Department of Chemistry, University of Bergen, PO Box 7805, Bergen, Norway; Copernicus Institute of Sustainable Development, Utrecht University, PO Box 80115, Utrecht, Netherlands; Cooperative University of Amersfoort, Geldersestraat 6, Amersfoort, Netherlands; UNESCO-IHE Institute for Water Education, Westvest 7, Delft, Netherlands"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939535868&partnerID=40&md5=ac493b140ec32171879ec3994c2a272e","Applied Research Laboratory, The Pennsylvania State University, University Park, PA, United States; School of Civil and Environmental Engineering, Cornell University, Ithaca, NY, United States; Department of Geosciences, The Pennsylvania State University, University Park, PA, United States; Department of Engineering and Public Policy, Carnegie Mellon University, Pittsburgh, PA, United States; Earth and Environmental Systems Institute, The Pennsylvania State University, University Park, PA, United States; Department of Civil and Environmental Engineering, University of California, Davis, CA, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960465254&partnerID=40&md5=5fe09431832588e2bd4876c5d1a31cec","Sloan School of Management, Massachusetts Institute of Technology, Cambridge, MA, United States; Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology, Cambridge, MA, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941061686&partnerID=40&md5=87d6780badde378672c6f0d655a72599","Department of Irrigation and Reclamation Engineering, Faculty of Agricultural Engineering and oTechnology, College of Agriculture and oNatural Resources, University of Tehran, Karaj, Tehran, Iran"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925707964&partnerID=40&md5=cd791b2a773887b03d52ea22817fcf83","Decision Center for a Desert City, School of Community Resources and Development, Arizona State University, Phoenix, AZ, United States; School of Sustainability, School of Geographical Sciences and Urban Planning, Arizona State University, Tempe, AZ, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941283807&partnerID=40&md5=fd2f7265a95ea4ed36c1d98951858648","Department of Chemical and Biomolecular Engineering, Korea Advanced Institute of Science and Technology (KAIST), 291 Daehak-ro, Yuseong-gu, Daejeon, South Korea; CAPEC, Department of Chemical and Biochemical Engineering, Technical University of Denmark, Kgs Lyngby, Denmark"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946563494&partnerID=40&md5=2ab285430d11a3ff467df5bf02bef772","School of Management, Hefei University of Technology, Hefei, China; Key Laboratory of Process Optimization and Intelligent Decision-making, Ministry of Education, Hefei, China"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956789526&partnerID=40&md5=a07cd181dc21a059669e6ba6093bbddc","Department of Hydraulics and Sanitary Engineering, University of São Paulo, São Carlos, Brazil; Department of Hydrology and Water Resources, University of Arizona, Tucson, AZ, United States; National Center for Monitoring and Early Warning of Natural Disasters, Ministry of Science, Technology and Innovation (CEMADEN/MCTI), São José dos Campos, SP, Brazil"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995755407&partnerID=40&md5=98af5b7b7e86f965b5039913b30b1049","EPFL, Switzerland; Adobe Research, United States; KIT, Germany; KAUST, Saudi Arabia"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929582555&partnerID=40&md5=1b06fcf3223c9df52680cb9735f5c0bb","The James Hutton Institute, Craigiebucker, Aberdeen, United Kingdom; Faculty of Environment and Technology, University of the West of England, Coldharbour Lane, Frenchay Campus, Bristol, United Kingdom"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954305975&partnerID=40&md5=979e1017b1c42bb298ad6a3236591938","Technical University of Hamburg, Harburg, Germany; Portland State University, USA; Siemens AG, Germany"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941170354&partnerID=40&md5=dac93c4f4c6bc0194f07944dd0769d16","International Institute for Applied Systems Analysis, Laxenburg, Austria; School of Forestry and Environmental Studies, Yale University, New Haven, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955170921&partnerID=40&md5=0f921b9dd830ca4537713842d89ac2f1","Department of Economics, Università Ca' Foscari Venezia, Cannaregio 873, 30121 Venice, Italy; Department of Mathematics, Università di Padova, Via Trieste, Padova, Italy; Department of Management, Università Ca' Foscari Venezia, Cannaregio 873, Venice, Italy"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938569181&partnerID=40&md5=36ee35026b4ccf33e2522c2e5ceccd98","Understanding Risk Research Group, Tyndall Centre and Climate Change Consortium of Wales, School of Psychology, Cardiff University, Cardiff, United Kingdom; Department of Geography, College of Life and Environmental Sciences, University of Exeter, Exeter, United Kingdom; Environment Department, University of York, York, United Kingdom; Horizon Digital Economy Research/School of Psychology, University of Nottingham, Nottingham, United Kingdom"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938059213&partnerID=40&md5=ab2bc4569352e5e1c0ea688ae3c98c60","RAND Corporation, 1776 Main St., Santa Monica, CA, United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937828100&partnerID=40&md5=8533e49bee68c8d27e03e9bd8bdf2db3","Department of Mechanical Engineering, Pardis Branch, Islamic Azad University, Pardis New City, Tehran, Iran; Department of Petroleum Engineering, Ahwaz Faculty of Petroleum Engineering, Petroleum University of Technology (PUT), Ahwaz, Iran; Imam Khomeini International University, Qazvin, Iran"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937510436&partnerID=40&md5=27e1b068a934553e418c7b331816ebcc","Centre for Water Systems, College of Engineering, Mathematics and Physical Sciences, University of Exeter, Harrison Building, North Park Road, Exeter, United Kingdom; Northumbrian Water Ltd., Boldon House, Wheatlands Way, Pity Me, Durham, United Kingdom"
