Title,Link
"A SystemC-based platform for assertion-based verification and mutation analysis in systems biology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978531510&partnerID=40&md5=29079a311a55f0b8307b7fc8c19f1905"
"Exploratory power noise models of standard cell 14, 10, and 7 nm FinFET ICs","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974678582&partnerID=40&md5=c01ff300a6f87572cbc40c882aaba650"
"Enhancing student teachers’ epistemological beliefs about models and conceptual understanding through a model-based inquiry process","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969752485&partnerID=40&md5=25a6c69b6ad57569cedfa4ce9b79da0a"
"Improving scenario discovery for handling heterogeneous uncertainties and multinomial classified outcomes","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960118746&partnerID=40&md5=5c704c4b2fc5fe5ec54bdb34371e6482"
"Sensitivity analysis of environmental models: A systematic review with practical workflow","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958522250&partnerID=40&md5=68db05423f7c14b3b2b96104519f1127"
"Scenario generation using adaptive sampling: The case of resource scarcity","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959900245&partnerID=40&md5=83d1973c3e62b25701ece21baca11132"
"A robust and adaptive decision-making algorithm for detecting brain networks using functional MRI within the spatial and frequency domain","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968677712&partnerID=40&md5=9d7ab48aca4e3102dfd1b60e0cb45a3b"
"Light-duty electric vehicles to improve the integrity of the electricity grid through Vehicle-to-Grid technology: Analysis of regional net revenue and emissions savings","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957088452&partnerID=40&md5=76d241f04bb8e1dcc4537bdd48f623c4"
"Inclusive approaches to urban climate adaptation planning and implementation in the Global South","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961288888&partnerID=40&md5=66a5a29b269d2e75269c7ddb386295ee"
"Is robustness really robust? How different definitions of robustness impact decision-making under climate change","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954329166&partnerID=40&md5=705d287dd380ee1f7a9331296ca50fc7"
"Handling Uncertainties in Fault Tree Analysis by a Hybrid Probabilistic-Possibilistic Framework","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961912390&partnerID=40&md5=3b5c0300c8ec6dfbe393699641682a9a"
"Reviewing estimates of the economic efficiency of disaster risk management: opportunities and limitations of using risk-based cost–benefit analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960462047&partnerID=40&md5=73e229d9c8ec1f42e46742fe62ebf1b0"
"Decision-making under ambiguity is modulated by visual framing, but not by motor vs. non-motor context. Experiments and an information-theoretic ambiguity model","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965139286&partnerID=40&md5=cb0f485055497d6accf17b58915b42ef"
"Sustainable urban water resources management considering life-cycle environmental impacts of water utilization under uncertainty","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955474448&partnerID=40&md5=73c78aca3634f5a5a875f237ed6e1169"
"Ecosystem Management Along Ephemeral Rivers: Trading Off Socio-Economic Water Supply and Vegetation Conservation under Flood Regime Uncertainty","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959295395&partnerID=40&md5=1e467b45aff60240234fa4b715ff5cc7"
"Modelling the development of varied shore profile geometry on rocky coasts","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987736300&partnerID=40&md5=aaad02a46a54a6c4b745caa9dbcfb6a2"
"A survey of decision-making approaches for climate change adaptation: Are robust methods the way forward?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954482916&partnerID=40&md5=71e2d8680b0fa2c154ef24ce83a84d9a"
"Environmental assessment of façade-building systems and thermal insulation materials for different climatic conditions","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951862110&partnerID=40&md5=54cc8460f7b1ff8220bfe41d0d951350"
