"X","Populacao","Nascimentos","Mortes","TaxaNascimento","TaxaMorte","Replicacao"
1,4678.56181459417,247.897820514216,932.335809908907,0.0529859025782091,0.199278292530112,1
2,10610.3289853805,2046.54612015132,1920.45573093036,0.192882437761466,0.180998697926942,2
3,15104.3557852349,1881.63606846141,609.789524578805,0.124575724725763,0.0403717664791038,3
4,10090.2294923522,945.425488737951,927.29027667475,0.0936971244761604,0.0918998202545918,4
5,5415.8005725044,191.349236972315,835.654364134399,0.0353316623111605,0.154299323423568,5
6,7544.03919622538,1004.32704676284,1423.6142824129,0.133128556286579,0.18870716938019,6
7,10432.926428826,836.380846239679,747.760121717104,0.0801674249258358,0.0716730944877607,7
8,5186.05261027607,55.0620383095021,714.229501969535,0.0106173312242143,0.137721221831476,8
9,11899.8000817268,621.863437815681,204.280386480156,0.0522583096812363,0.0171667074301396,9
10,20027.8738737491,3308.77445622709,427.855272240121,0.165208472805691,0.0213629901474924,10
11,6559.42032022176,238.124670205825,779.822199292072,0.0363027003273019,0.11888584070272,11
12,13602.7249159761,1474.26304216855,624.181237694256,0.108379979105294,0.0458864853586187,12
13,10546.4577475919,784.913535690938,672.389704176686,0.074424375887739,0.0637550275427988,13
14,6724.75071208187,752.798942049745,1276.01306997994,0.111944512782793,0.189748754208453,14
15,4986.83615226361,195.580405207652,865.940303855382,0.0392193365163752,0.173645228641073,15
16,8495.26487408083,154.44931434754,429.277360645749,0.0181806355230627,0.0505313685928122,16
17,11022.7939848092,1671.59139804893,1455.86230317798,0.15164861108287,0.132077430203662,17
18,14626.0891161889,1288.93893671964,155.292160048443,0.0881260141710052,0.0106174766757409,18
19,20909.4820954558,3713.52344587975,512.269058255687,0.177599972535274,0.0244993661687593,19
20,15762.6593100865,2643.85259440622,1176.12362325494,0.167728842094203,0.0746145431502373,20
21,14892.3300196334,1638.2902221759,428.144958963597,0.110008992549591,0.0287493601336493,21
22,12168.1322344252,2209.39529690325,1727.11526708165,0.181572262228758,0.141937582022278,22
23,8711.4662781244,1108.30830974726,1346.9988115362,0.127224083106464,0.154623661336862,23
24,9627.20719938878,977.626093705145,1050.63852831376,0.101548255216447,0.109132223557052,24
25,14028.3674895554,1187.73817050047,221.771102823839,0.0846668845384033,0.0158087605695357,25
26,12746.5885299516,1568.19927734913,941.966555641162,0.123028940148512,0.0738995028691599,26
27,4496.96637875563,203.902435009216,894.70972902251,0.0453422191396589,0.198958509729861,27
28,11798.3804037194,1971.79067851151,1578.30944119336,0.167123843361577,0.133773398312856,28
29,13367.3563219102,1731.33513185445,944.042551086755,0.129519636505586,0.0706229809659067,29
30,15078.9497658943,2783.34588632998,1518.92886135038,0.184584863637213,0.100731740932376,30
31,4251.38946772498,140.104040562128,837.144848100448,0.0329548825450474,0.196910881596652,31
32,6803.20044161597,181.7715909417,695.913450006505,0.0267185411486309,0.102292069148738,32
33,8706.77070639852,987.064960422072,1226.55277956668,0.113367515202472,0.140873444463778,33
34,12788.6562880799,817.593577978191,180.658231091809,0.0639311558275484,0.0141264435467077,34
35,12494.8453039152,1707.88139088646,1145.03842353245,0.136686877615948,0.091640864346968,35
36,8736.2976627109,923.643596607984,1158.10855531125,0.105724831303582,0.132562854429102,36
37,17765.6795663465,2672.9399350609,571.198352858732,0.150455259821541,0.0321517874239245,37
38,5919.05701020752,483.907794930272,1088.71112051099,0.0817542041064589,0.183933203994064,38
39,16903.6291015233,3037.45123110914,1215.35560988809,0.179692255010223,0.0718990935371723,39
40,7944.05646652831,842.012947311784,1203.5192436907,0.105992820023315,0.151499331451335,40
41,9545.4416007668,1295.70855750981,1384.31569885371,0.135741080580885,0.145023746071896,41
42,5868.13695496233,112.366753151959,721.584991053485,0.0191486248556175,0.122966624090681,42
43,8315.72112978498,254.132847891938,558.067151916314,0.0305605303407414,0.0671098926005885,43
44,6532.63073761521,363.734186463113,908.344474856782,0.0556795877606724,0.139047270745994,44
45,7189.27159762684,478.385581529034,945.127174426659,0.0665415925706504,0.131463551152893,45
46,15330.3430100582,2964.51133190651,1626.14956340963,0.193375407840614,0.106073919046868,46
47,12066.5959570608,975.897082424849,518.255816914671,0.0808759227455361,0.0429496287734248,47
48,11543.4238652425,2134.84752394162,1801.09061613249,0.184940581656166,0.156027417615289,48
49,11559.4931089699,808.408634210965,470.924308532999,0.0699346092938678,0.0407391832923517,49
50,9783.02915477534,426.797446848327,469.67037020239,0.0436263083852711,0.0480086855279515,50
51,9507.80221576264,1479.89239954764,1575.62681513372,0.155650313917361,0.165719351263065,51
52,5657.40957497352,343.889927609922,970.390771674796,0.0607857576957438,0.171525635330961,52
53,11321.8469727417,844.798309511575,561.926545985361,0.0746166514655692,0.0496320562659297,53
54,9476.09157385411,1640.22908813479,1741.94282004438,0.17309130830483,0.183825030231941,54
55,15329.4617006733,2027.99768878097,689.896809928109,0.132294122806145,0.0450046337829204,55
56,21232.7310053414,3747.41424940094,426.482463146328,0.176492333862197,0.0200860861016437,56
57,5701.71794608429,99.1906770746424,722.191246719114,0.017396629930241,0.126662043536385,57
58,10111.85550166,1159.04388586894,1136.53561674728,0.11462227537554,0.112396346700238,58
59,11740.2171365998,2291.67868228408,1911.93173238941,0.195199003188778,0.162853183220013,59
60,7575.62513538019,291.157195459879,706.044171125282,0.0384334216987714,0.0931994599135942,60
61,6818.61371050633,649.149266100988,1161.48609644545,0.0952025284994161,0.170340504061081,61
62,11779.8589883211,1761.74053232864,1372.63979212063,0.149555315906182,0.116524297403009,62
63,18528.1646303762,3240.18865709649,882.960390786886,0.17487909470452,0.0476550380677916,63
