"";"time";"Revenue";"Inventory";"Assets";"Capex";"NetIncome";"GrossProfit";"CostOfRevenue";"TangibleAssets";"EBT";"FreeCashFlow";"IntangibleAssets";"NetCashFlowFromInvestment";"NetCashFlowFromFinancing";"NetCashFlowFromOperations";"ResearchAndDevelopmentExpenses";"EBITDA"
"1";2010;1.49567e+11;1.1526e+10;7.47793e+11;-2.592e+09;1.1644e+10;6.7757e+10;8.181e+10;6.73434e+11;1.2683e+10;3.3532e+10;7.4359e+10;3.2436e+10;-6.1586e+10;3.6124e+10;0;3.8006e+10
"2";2011;1.46542e+11;1.3792e+10;7.18189e+11;-6.77e+09;1.4151e+10;7.1422e+10;7.512e+10;6.33496e+11;1.9896e+10;2.6589e+10;8.4693e+10;1.9882e+10;-4.6863e+10;3.3359e+10;0;4.3304e+10
"3";2012;1.46684e+11;1.5374e+10;6.84999e+11;-8.935e+09;1.3641e+10;6.5685e+10;8.0999e+10;5.99905e+11;1.6175e+10;2.2396e+10;8.5094e+10;1.1302e+10;-5.1074e+10;3.1331e+10;0;3.7774e+10
"4";2013;1.13245e+11;1.7325e+10;6.5656e+11;-4.038e+09;1.3057e+10;3.0743e+10;8.2502e+10;5.64602e+11;1.4276e+10;2.4472e+10;9.1958e+10;2.9117e+10;-4.5575e+10;2.851e+10;0;2.2348e+10
"5";2014;1.17184e+11;1.7689e+10;6.54954e+11;-4.211e+09;1.5233e+10;3.095e+10;8.6234e+10;5.88565e+11;1.6006e+10;2.3498e+10;6.6389e+10;-5.034e+09;-1.6956e+10;2.7709e+10;0;2.3682e+10
"6";2015;1.17386e+11;2.2515e+10;4.93071e+11;-4.289e+09;-6.126e+09;3.2088e+10;8.5298e+10;4.09748e+11;3.59e+08;1.5602e+10;8.3323e+10;5.9488e+10;-7.6054e+10;1.9891e+10;0;8.669e+09
"7";2016;1.23693e+11;2.2354e+10;3.65183e+11;-2.775e+09;8.831e+09;3.3413e+10;9.028e+10;2.78309e+11;8.367e+09;-3.019e+09;8.6874e+10;4.9202e+10;-8.9131e+10;-2.44e+08;0;1.8389e+10
