4070	6041	1
4070	10445	1
4070	11478	3
4070	12251	1
4070	16472	1
4070	16483	2
4070	23403	1
4070	26297	1
4070	35114	2
4070	40219	2
4070	44464	1
4070	46435	1
4186	6041	2
4186	8920	1
4186	9734	1
4186	15038	1
4186	16472	1
4186	16645	1
4186	18883	1
4186	20929	1
4186	21094	1
4186	23403	1
4186	25945	1
4186	26297	1
4186	34422	1
4186	34932	1
4186	40865	1
4186	51825	1
4189	6043	2
4189	8519	1
4189	8891	1
4189	20929	2
4189	29171	1
4189	34422	1
4189	34425	1
4189	34841	1
4189	34932	1
4189	35065	1
4189	35114	1
4189	40080	1
4189	41129	1
4189	46434	1
4189	51825	1
4500	6043	1
4500	14738	1
4500	18615	1
4500	20069	1
4500	27833	1
4500	40444	1
4500	44432	1
4506	6041	1
4506	7290	1
4506	14739	1
4506	16501	1
4506	18627	1
4506	22129	1
4506	26297	1
4506	30521	1
4506	34522	1
4506	34958	1
4506	35118	2
4506	37315	1
4506	38264	1
4506	40080	1
4506	40861	1
4506	45332	1
4506	45966	1
4519	6041	1
4519	10885	1
4519	16472	1
4519	34956	1
4519	35062	1
4519	40098	2
4519	40444	1
4519	41129	1
4519	46866	2
4519	51549	1
4911	6043	1
4911	8519	1
4911	8920	1
4911	9492	1
4911	9734	1
4911	11478	1
4911	16049	1
4911	16472	1
4911	20069	1
4911	20914	3
4911	21094	1
4911	25945	1
4911	27117	1
4911	29655	1
4911	32490	1
4911	34425	1
4911	34840	1
4911	34956	1
4911	35062	2
4911	35114	2
4911	39432	1
4911	40112	1
4911	46434	1
4911	46866	1
4911	51821	2
4911	51825	1
4913	8891	1
4913	8920	1
4913	15310	1
4913	16501	1
4913	16636	1
4913	29171	1
4913	34530	1
4913	38291	1
4913	40080	2
4913	41129	2
4913	46866	1
4913	48119	1
4913	48523	1
6015	13585	1
6015	16658	1
6015	34425	1
6015	34824	1
6015	39084	1
6015	39085	1
6015	44464	1
6015	48119	2
6015	51552	2
6041	10885	1
6041	15038	1
6041	16472	2
6041	16483	1
6041	16495	1
6041	16542	1
6041	18883	2
6041	20929	2
6041	21094	1
6041	22196	1
6041	22682	1
6041	34422	2
6041	34932	2
6041	34956	1
6041	35062	1
6041	35114	1
6041	39084	1
6041	39085	1
6041	40098	1
6041	40219	1
6041	40240	1
6041	40444	1
6041	40865	1
6041	44384	1
6041	44432	1
6041	45966	1
6041	46866	1
6041	48103	1
6041	48119	1
6041	48523	1
6041	51549	2
6041	51552	1
6043	6409	1
6043	8891	2
6043	9815	1
6043	16507	2
6043	20914	1
6043	20929	2
6043	21094	2
6043	22196	1
6043	25536	1
6043	25945	1
6043	26297	1
6043	29171	1
6043	30521	1
6043	34425	2
6043	34840	1
6043	34958	1
6043	35062	1
6043	35065	2
6043	35114	1
6043	38264	1
6043	39085	1
6043	39217	1
6043	39995	1
6043	40070	1
6043	40080	1
6043	40081	1
